"Data Source","World Development Indicators",
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Last Updated Date","11.04.2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"Austria","AUT","Agriculture, value added (% of GDP)","NV.AGR.TOTL.ZS","","","","","","","","","","","","","","","","","5.775380631","4.9974703","4.988833302","4.840853289","4.884972104","4.486448066","4.116883461","3.859110618","4.088162308","3.567589196","3.657469889","3.623427952","3.463870742","3.419524303","3.500642365","3.17759178","2.771375761","2.487819501","2.674715493","2.408331712","2.225709086","2.147733318","2.020873752","1.943319771","1.84949489","1.874617103","1.757497563","1.67700861","1.666204716","1.423284544","1.470111885","1.599578734","1.514887546","1.297721573","1.434119959","1.610931198","1.536489988","1.433383422","1.402512762",""
"Azerbaijan","AZE","Agriculture, value added (% of GDP)","NV.AGR.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.02502802","32.31501686","28.5056167","28.48862115","32.99219397","27.28842832","27.5296626","21.73458154","18.92896334","19.1560716","17.14337347","16.10301355","15.17167667","13.46151444","11.84267051","9.895473393","7.500918359","7.002185706","5.970850713","6.6465395","5.920976527","5.393453691","5.492057227","5.660810486","5.691828905",""
"Burundi","BDI","Agriculture, value added (% of GDP)","NV.AGR.TOTL.ZS","","","","","","","","","","","70.63165235","69.26077751","65.32475225","67.9571987","65.86793786","65.67059044","64.7906644","63.84403621","60.71442473","60.62203176","62.2498857","61.31928993","56.85609019","57.24614179","60.13098241","61.53723632","58.52472731","55.11138488","54.24503787","53.67857949","55.8787003","54.3107131","53.53346466","52.61869799","46.77810863","48.14459886","57.22159775","47.72701889","48.03144784","47.88993034","48.05965423","46.43665432","45.78611742","46.36023027","45.44476975","44.49652934","44.34355215","37.33609897","40.59095317","40.53228661","40.44849519","40.34738068","40.58240062","39.82736966","39.26164095",""
"Belgium","BEL","Agriculture, value added (% of GDP)","NV.AGR.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.440611422","1.470262359","1.483774762","1.390521422","1.195546041","1.308522316","1.229259134","1.145216168","1.140997506","1.137265769","0.936102982","1.011219014","0.99071308","0.790829282","0.72457741","0.852591154","0.718693691","0.876975358","0.791633338","0.702551282",""
"Benin","BEN","Agriculture, value added (% of GDP)","NV.AGR.TOTL.ZS","46.15772309","46.19378573","44.70927268","43.71836971","45.52815226","44.61942503","45.14781983","42.0810132","38.868069","38.49666283","36.32785238","34.35773601","34.23102234","33.62392031","31.53369577","30.53866655","33.19650626","31.85508538","34.54214391","34.99288604","35.43268847","32.66465235","32.50119968","33.1576443","33.31156053","31.54554889","33.67105902","33.27995076","34.38009319","37.85688479","34.65494536","35.0437735","33.94190414","34.1194608","32.29399457","33.09015959","35.70530039","35.78193016","36.57664979","26.49962035","25.80426476","25.3414264","26.8860438","25.5945024","27.77229815","27.52527473","28.25733916","27.61541214","27.18074342","26.89697092","25.83182491","25.63837234","25.24475144","24.0206056","23.45375585",""
"Burkina Faso","BFA","Agriculture, value added (% of GDP)","NV.AGR.TOTL.ZS","39.81252659","39.62272409","39.48651937","40.09831487","40.5412725","37.17534109","37.77699418","34.20648566","32.35556069","32.79866475","31.35564878","31.99750094","33.18583806","30.81809417","32.27419656","30.31976032","30.79158639","30.35561266","31.92544699","30.26927143","29.40998741","30.72000492","28.41455059","28.22589406","29.11195056","35.18860557","30.86631082","28.88169501","29.93156044","28.89774248","29.14138952","31.2274237","30.17491622","31.37245493","35.52219498","35.83498799","39.39431008","36.77055174","39.56794507","32.61298455","32.80850728","37.04837406","38.55286306","37.07569451","34.52063888","39.03079602","36.72400318","32.66645169","40.20187111","35.57352982","35.61687223","33.84527261","35.05549153","34.76814493","34.20803314",""
"Bangladesh","BGD","Agriculture, value added (% of GDP)","NV.AGR.TOTL.ZS","57.47431238","57.98823595","57.01857402","57.14666817","53.35683665","52.81869477","53.94737058","55.85247837","53.55573997","55.41281892","54.56149999","51.03131121","59.609906","56.638853","56.63655312","61.95413913","51.91445693","48.89805693","54.2503083","52.45201206","31.5543184","33.55332326","32.97962742","32.39604765","36.32530746","34.82201836","34.12527403","34.76872097","33.54966112","32.92929517","32.75288712","30.3651623","29.38477209","26.2515488","25.62847966","26.38432643","24.47159924","24.45855696","23.75577585","23.79209994","23.77274134","22.99528298","21.66846646","20.924354","20.31253911","19.59986784","19.00839958","18.70609422","18.47223669","17.86878314","17.81049845","17.71316726","17.09395293","16.27607081","16.10899801",""
"Bulgaria","BGR","Agriculture, value added (% of GDP)","NV.AGR.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","14.61081185","17.04008283","17.16503758","14.49470005","15.8379269","11.92374671","13.14305641","11.41742089","10.92347773","10.6153454","17.02671853","16.94193423","12.9391341","11.30054878","13.34325978","14.69914709","12.88177588","22.5891978","15.41101661","14.72195556","12.57954989","12.05726869","10.9104213","10.40492276","9.834489501","8.51037437","7.213994109","5.428672416","6.951372144","4.892298773","4.947624142","5.299288429","5.316734424","5.341554926","5.265108959",""
"Bahrain","BHR","Agriculture, value added (% of GDP)","NV.AGR.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","0.984370952","1.012347573","1.057776481","1.153517516","1.116785836","1.194377686","1.368720049","1.342504418","1.180461174","1.135141461","0.949346076","0.882139771","0.909897","0.851378305","0.860341986","0.862944479","","","","","","","","","","","","","","","","","","","",""
"Bahamas, The","BHS","Agriculture, value added (% of GDP)","NV.AGR.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","2.33338929","2.190721649","2.084011626","2.085260325","","2.34391314","2.551210659","3.318907556","3.144474221","2.838003735","3.157496342","3.344744855","3.128055541","3.374874813","2.992721309","2.666727711","2.850292993","2.620122444","3.123889153","2.7654737","2.342788162","2.194145311","2.451847517","2.326734733","2.293187638","2.055177363","2.312206099","2.337074713","2.342104631","1.902289611","1.767964152",""
"Bosnia and Herzegovina","BIH","Agriculture, value added (% of GDP)","NV.AGR.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.85332285","20.69999851","25.21315478","21.33744927","19.44020701","16.1533558","10.58301492","10.76126758","10.08915339","8.963525992","10.73575207","10.09853266","10.1411097","9.71670304","8.853753032","8.534883322","8.274258471","8.246253855","7.505140998","8.286766079","7.24105243",""
