"Data Source","World Development Indicators",

"Last Updated Date","2016-04-11",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015",
"Belgium","BEL","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.06459051963406","2.73765808883312","3.08541402919382","2.2147428110652","2.56680960028932","2.10314348577476","2.08732163671329","1.97601473975886","1.88441534667858","1.7399404056602","1.71826205470508","1.92340823975593","1.73919190370199","1.76431781715431","","",
"Benin","BEN","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.32844972542389","","","",
"Burkina Faso","BFA","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.581138523382146","0.651123763651624","0.758689364123477","0.873145231474212","0.649223015856875","0.58557488395965","0.561707161887834","0.720528853263854","","","",
"Bangladesh","BGD","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.52524365523089","2.72991432321991","2.55681712222839","2.493785545335","2.76277058309222","2.50951582972125","2.87570741125298","2.63763304777911","2.77015673052086","2.82201506189504","2.63886680918621","2.58153780347223","2.64595277781034","2.79211139598854","","",
"Bulgaria","BGR","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.91147812800959","5.29432391664897","4.85483790696472","4.68618316408135","4.05353090433035","","","","3.16382936072074","3.15059251153227","2.59004506418106","2.44003163120575","2.34029750337856","2.29204795284138","2.01445113525737","1.9893966511823","1.74832246472779","1.94209193237631","1.50018314357044","","",
"Bahrain","BHR","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.28801615458484","1.09208904348016","0.388571843048061","0.853133131425159","0.45478628455523","0.736105225190362","0.387464365386646","0.537616102677507","1.09102597564998","0.878936135701347","0.545038043726235","","","","",
"Bahamas, The","BHS","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.8523134481242","14.1911849639445","16.826355249661","15.8416343497326","13.6476426799007","15.8012446518864","18.1752090149037","22.8037503398636","20.9565367170006","24.5421617413087","26.0750406382282","34.5784649973362","29.7047869665613","","","",
"Bosnia and Herzegovina","BIH","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.84250668103303","1.45608512273628","1.32169222008186","1.63352811313551","1.21929823551838","","",
"Belarus","BLR","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.34376499808112","9.46863023280921","10.0055054779408","10.1994514545983","9.6363914464461","10.1488159046873","9.76797481253603","10.0376885263638","8.98395367754924","8.38478142623795","8.53620707244932","7.62965290588428","6.77073639739236","5.66148248587429","4.9654700373775","5.12060284035414","3.96612854689508","3.63427079461849","","","",
"Belize","BLZ","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.1845791454654","26.1013548234488","34.5558971425848","25.9342122579796","29.8068216118322","29.7881729920565","32.9766833342294","33.8928566436987","35.0884364865233","32.2242007069392","41.802362319545","39.4200330527151","45.0947232331859","","","",
